xoff,yoff
-0.293103,-0.051724
-0.293103,-0.017241
-0.293103,0.017241
-0.293103,0.051724
-0.258621,-0.120690
-0.258621,-0.086207
-0.258621,-0.051724
-0.258621,-0.017241
-0.258621,0.017241
-0.258621,0.051724
-0.258621,0.086207
-0.258621,0.120690
-0.224138,-0.155172
-0.224138,-0.120690
-0.224138,-0.086207
-0.224138,-0.051724
-0.224138,-0.017241
-0.224138,0.017241
-0.224138,0.051724
-0.224138,0.086207
-0.224138,0.120690
-0.224138,0.155172
-0.189655,-0.224138
-0.189655,-0.189655
-0.189655,-0.155172
-0.189655,-0.120690
-0.189655,-0.086207
-0.189655,-0.051724
-0.189655,-0.017241
-0.189655,0.017241
-0.189655,0.051724
-0.189655,0.086207
-0.189655,0.120690
-0.189655,0.155172
-0.189655,0.189655
-0.189655,0.224138
-0.155172,-0.258621
-0.155172,-0.224138
-0.155172,-0.189655
-0.155172,-0.155172
-0.155172,-0.120690
-0.155172,-0.086207
-0.155172,-0.051724
-0.155172,-0.017241
-0.155172,0.017241
-0.155172,0.051724
-0.155172,0.086207
-0.155172,0.120690
-0.155172,0.155172
-0.155172,0.189655
-0.155172,0.224138
-0.155172,0.258621
-0.120690,-0.258621
-0.120690,-0.224138
-0.120690,-0.189655
-0.120690,-0.155172
-0.120690,-0.120690
-0.120690,-0.086207
-0.120690,-0.051724
-0.120690,-0.017241
-0.120690,0.017241
-0.120690,0.051724
-0.120690,0.086207
-0.120690,0.120690
-0.120690,0.155172
-0.120690,0.189655
-0.120690,0.224138
-0.120690,0.258621
-0.086207,-0.258621
-0.086207,-0.224138
-0.086207,-0.189655
-0.086207,-0.155172
-0.086207,-0.120690
-0.086207,-0.086207
-0.086207,-0.051724
-0.086207,0.051724
-0.086207,0.086207
-0.086207,0.120690
-0.086207,0.155172
-0.086207,0.189655
-0.086207,0.224138
-0.086207,0.258621
-0.051724,-0.258621
-0.051724,-0.224138
-0.051724,-0.189655
-0.051724,-0.155172
-0.051724,-0.120690
-0.051724,-0.086207
-0.051724,0.086207
-0.051724,0.120690
-0.051724,0.155172
-0.051724,0.189655
-0.051724,0.224138
-0.051724,0.258621
-0.017241,-0.258621
-0.017241,-0.224138
-0.017241,-0.189655
-0.017241,-0.155172
-0.017241,-0.120690
-0.017241,-0.086207
-0.017241,0.086207
-0.017241,0.120690
-0.017241,0.155172
-0.017241,0.189655
-0.017241,0.224138
-0.017241,0.258621
0.017241,-0.258621
0.017241,-0.224138
0.017241,-0.189655
0.017241,-0.155172
0.017241,-0.120690
0.017241,-0.086207
0.017241,0.086207
0.017241,0.120690
0.017241,0.155172
0.017241,0.189655
0.017241,0.224138
0.017241,0.258621
0.051724,-0.258621
0.051724,-0.224138
0.051724,-0.189655
0.051724,-0.155172
0.051724,-0.120690
0.051724,-0.086207
0.051724,0.086207
0.051724,0.120690
0.051724,0.155172
0.051724,0.189655
0.051724,0.224138
0.051724,0.258621
0.086207,-0.258621
0.086207,-0.224138
0.086207,-0.189655
0.086207,-0.155172
0.086207,-0.120690
0.086207,-0.086207
0.086207,-0.051724
0.086207,0.051724
0.086207,0.086207
0.086207,0.120690
0.086207,0.155172
0.086207,0.189655
0.086207,0.224138
0.086207,0.258621
0.120690,-0.258621
0.120690,-0.224138
0.120690,-0.189655
0.120690,-0.155172
0.120690,-0.120690
0.120690,-0.086207
0.120690,-0.051724
0.120690,-0.017241
0.120690,0.017241
0.120690,0.051724
0.120690,0.086207
0.120690,0.120690
0.120690,0.155172
0.120690,0.189655
0.120690,0.224138
0.120690,0.258621
0.155172,-0.258621
0.155172,-0.224138
0.155172,-0.189655
0.155172,-0.155172
0.155172,-0.120690
0.155172,-0.086207
0.155172,-0.051724
0.155172,-0.017241
0.155172,0.017241
0.155172,0.051724
0.155172,0.086207
0.155172,0.120690
0.155172,0.155172
0.155172,0.189655
0.155172,0.224138
0.155172,0.258621
0.189655,-0.224138
0.189655,-0.189655
0.189655,-0.155172
0.189655,-0.120690
0.189655,-0.086207
0.189655,-0.051724
0.189655,-0.017241
0.189655,0.017241
0.189655,0.051724
0.189655,0.086207
0.189655,0.120690
0.189655,0.155172
0.189655,0.189655
0.189655,0.224138
0.224138,-0.155172
0.224138,-0.120690
0.224138,-0.086207
0.224138,-0.051724
0.224138,-0.017241
0.224138,0.017241
0.224138,0.051724
0.224138,0.086207
0.224138,0.120690
0.224138,0.155172
0.258621,-0.120690
0.258621,-0.086207
0.258621,-0.051724
0.258621,-0.017241
0.258621,0.017241
0.258621,0.051724
0.258621,0.086207
0.258621,0.120690
0.293103,-0.051724
0.293103,-0.017241
0.293103,0.017241
0.293103,0.051724
